"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q3","Q4","Q5","Q13","Q6","Q7","Q8","Q9","Q10","Q11","Q12","id","sub"
"38",55,"3/10/21 22:55","3/10/21 22:56","IP Address","130.253.26.130",100,100,"True","3/10/21 22:57","R_3QLxXkSs8LznVCf",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Female","White","Yes","International Studies","No","No","Somewhat tired","Poor","",60016,655812
"39",56,"3/11/21 10:49","3/11/21 10:50","IP Address","130.253.27.10",100,60,"True","3/11/21 10:50","R_33easHagkcgkK6m",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","White ","Yes","Psychology ","No","No","Somewhat tired","Well","",59923,912272
"40",57,"3/11/21 12:05","3/11/21 12:07","IP Address","130.253.27.1",100,69,"True","3/11/21 12:07","R_2ElT5kNgW2oBoeW",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","White","Yes","Business Analytics ","No","No","Not at all tired","Well","no",60205,27336
"41",58,"3/11/21 14:38","3/11/21 14:40","IP Address","130.253.29.4",100,104,"True","3/11/21 14:40","R_3m4wmWfZ9QUxz47",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",NA,"Female","White","Yes","Computer Science","No","No","Somewhat tired","Well","",59965,818363
"42",59,"3/11/21 15:25","3/11/21 15:27","IP Address","130.253.27.11",100,174,"True","3/11/21 15:27","R_1qh3LBAslBR3fvp",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","White American","Yes","Biology","No","No","Slightly tired","Well","",59809,36510
"43",60,"3/11/21 15:32","3/11/21 15:34","IP Address","130.253.27.8",100,101,"True","3/11/21 15:34","R_3KJhroL1ZVqTira",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Male","white","Yes","environmental science","No","No","Slightly tired","Very well","no",59686,849451
"44",62,"3/11/21 16:02","3/11/21 16:04","IP Address","184.96.63.157",100,144,"True","3/11/21 16:04","R_0GS9xwa97uohxTz",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","Caucasian","Yes","Psychology","No","No","Somewhat tired","Well","",58051,896572
"45",63,"3/11/21 16:23","3/11/21 16:24","IP Address","212.102.41.37",100,87,"True","3/11/21 16:24","R_3eh8uRrWnu1sFnM",NA,NA,NA,NA,32.790802,-96.83360291,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Male","White","Yes","Mathematics","No","No","Slightly tired","Well","",60121,129525
"46",64,"3/11/21 16:25","3/11/21 16:26","IP Address","67.174.103.146",100,77,"True","3/11/21 16:26","R_25Acm5xhAiQoMhG",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.,Please check this box if you are participating for monetary compensation.",19,"Female","White","Yes","Criminology","No","No","Not at all tired","Well","",59851,225555
"47",65,"3/11/21 16:48","3/11/21 16:53","IP Address","130.253.27.4",100,248,"True","3/11/21 16:53","R_2Qtbo5Q6qhMoJVp",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","White","Yes","Psychology","No","No","Somewhat tired","Poor","hunger",60088,609023
"48",67,"3/11/21 18:17","3/11/21 18:19","IP Address","130.253.29.11",100,115,"True","3/11/21 18:19","R_1j956p1trFqb3xs",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Non-binary / third gender","Jewish American","Yes","Business and Psychology","No","No","Slightly tired","Well","N/A",60214,738062
"49",68,"3/11/21 20:04","3/11/21 20:05","IP Address","130.253.27.14",100,58,"True","3/11/21 20:05","R_331ZTxaApxekXQS",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","Caucasian","Yes","History","No","No","Slightly tired","Well","N/A",60190,580556
"50",69,"3/11/21 21:09","3/11/21 21:10","IP Address","130.253.27.11",100,87,"True","3/11/21 21:10","R_W7mwZZQuNbOL1kd",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","White","Yes","Math","No","No","Slightly tired","Well","",56770,567177
"51",70,"3/11/21 21:11","3/11/21 21:12","IP Address","130.253.27.9",100,45,"True","3/11/21 21:12","R_1eRAC5IO3f09xz0",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Male","White/European American","Yes","Communication Studies","No","No","Slightly tired","Well","",59758,763070
"52",71,"3/11/21 22:40","3/11/21 22:43","IP Address","130.253.27.14",100,213,"True","3/11/21 22:43","R_23ftKFXddi8ETT3",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","Asian","Yes","Film Studies","No","No","Slightly tired","Well","",60154,802130
"53",72,"3/12/21 7:32","3/12/21 7:37","IP Address","71.194.192.157",100,308,"True","3/12/21 7:37","R_1OBKb1fhmKcprbL",NA,NA,NA,NA,41.97779846,-88.20179749,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",22,"Female","White","Yes","Biology and Psychology","No","No","Not at all tired","Well","",55180,487802
"54",73,"3/12/21 9:50","3/12/21 9:52","IP Address","130.253.29.12",100,131,"True","3/12/21 9:52","R_7U2X8dp0sN8lQ3L",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.,Please check this box if you are participating for monetary compensation.,Please check this box if you agree not to be compensated. In this case, you acknowledge that you understand you will not receive chits or monetary compensation.",18,"Female","white","Yes","biological sciences","No","No","Slightly tired","Well","none",59653,91293
"55",74,"3/12/21 15:22","3/12/21 15:23","IP Address","174.16.53.95",100,90,"True","3/12/21 15:23","R_3Gm5Cf8CeY9nnWs",NA,NA,NA,NA,39.7592926,-104.9651031,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","Hispanic","No","Psychology","No","No","Somewhat tired","Very well","",58825,756655
"56",77,"3/12/21 18:51","3/12/21 18:53","IP Address","130.253.27.12",100,159,"True","3/12/21 18:53","R_2q7pwBpcIp2dNV1",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","",18,"Male","White","Yes","Undecided","No","No","Not at all tired","Very poor","N/A",60130,498064
"57",78,"3/13/21 14:13","3/13/21 14:15","IP Address","130.253.27.1",100,111,"True","3/13/21 14:15","R_WdRdqkvesAHcYb7",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Female","white","Yes","geography, psychology ","No","No","Not at all tired","Well","no",59716,223373
"58",79,"3/13/21 20:34","3/13/21 20:36","IP Address","130.253.29.13",100,131,"True","3/13/21 20:37","R_3QLtKkRFzGmlpOA",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","white ","Yes","biochemistry ","No","No","Somewhat tired","Well","N/A",57979,314853
"59",80,"3/14/21 10:02","3/14/21 10:04","IP Address","130.253.27.5",100,107,"True","3/14/21 10:04","R_1Lvdeb2PLa1pLU2",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.,Please check this box if you are participating for monetary compensation.,Please check this box if you agree not to be compensated. In this case, you acknowledge that you understand you will not receive chits or monetary compensation.",19,"Female","white","Yes","psych /comm","No","No","Slightly tired","Well","",57382,939045
"60",81,"3/14/21 13:34","3/14/21 13:37","IP Address","73.34.212.98",100,175,"True","3/14/21 13:37","R_WrCj0tW56NhMsvf",NA,NA,NA,NA,39.65620422,-104.7865982,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.,Please check this box if you are participating for monetary compensation.,Please check this box if you agree not to be compensated. In this case, you acknowledge that you understand you will not receive chits or monetary compensation.",22,"Female","Armenian ","Yes","Biology ","No","No","Not at all tired","Very well","",55360,8074
"61",83,"3/14/21 14:42","3/14/21 14:48","IP Address","130.253.27.11",100,356,"True","3/14/21 14:48","R_DBNWLPSi9wS1g2t",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,"Male","Asian-American","Yes","Environmental Science","No","No","Not at all tired","Very well","nope",59632,66516
"62",84,"3/14/21 14:57","3/14/21 14:59","IP Address","24.12.191.145",100,151,"True","3/14/21 14:59","R_3qXblGGXejbGH0s",NA,NA,NA,NA,42.07699585,-87.72090149,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",NA,"Male","","Yes","","No","No","Slightly tired","Well","",59878,106204
"63",85,"3/14/21 15:21","3/14/21 15:22","IP Address","130.253.27.9",100,51,"True","3/14/21 15:22","R_41TKBkz9ZyeG59v",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study",NA,"Male","white ","Yes","poly sci","No","No","Slightly tired","Well","",59848,503599
"64",86,"3/14/21 16:05","3/14/21 16:06","IP Address","73.243.32.206",100,45,"True","3/14/21 16:06","R_3sywpVR2VJba79X",NA,NA,NA,NA,39.73010254,-104.9077988,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","white","Yes","bio, psych","No","No","Slightly tired","Well","",59938,17590
"65",87,"3/14/21 16:28","3/14/21 16:29","IP Address","71.229.166.17",100,71,"True","3/14/21 16:29","R_2dEcFszvfD0aUvQ",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",21,"Female","Latinx","Yes","Anthropology and Spanish","No","No","Somewhat tired","Well","",59881,27954
"66",89,"3/14/21 16:58","3/14/21 16:59","IP Address","130.253.27.9",100,63,"True","3/14/21 16:59","R_7aJ1Bd8pxGUoJ69",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Male","White","Yes","Computer Science","No","No","Slightly tired","Well","",59953,400756
"67",90,"3/14/21 17:01","3/14/21 17:03","IP Address","67.190.122.210",100,138,"True","3/14/21 17:03","R_27p0lSi2izBHCXE",NA,NA,NA,NA,39.54069519,-104.9708023,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,"Male","Latino","Yes","Political Science","No","No","Slightly tired","Well","No",59917,958758
"68",91,"3/14/21 18:38","3/14/21 18:38","IP Address","98.221.3.177",100,45,"True","3/14/21 18:39","R_3niQL1Vs1VYutGU",NA,NA,NA,NA,40.7881012,-74.67500305,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","white","Yes","undeclared","No","No","Slightly tired","Well","",59815,419102
"69",93,"3/14/21 19:25","3/14/21 19:30","IP Address","130.253.27.14",100,312,"True","3/14/21 19:30","R_6QNiAhvrjmKj5zr",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","White","Yes","International Studies","No","No","Slightly tired","Well","",60091,462801
"70",94,"3/14/21 22:01","3/14/21 22:03","IP Address","142.79.208.98",100,96,"True","3/14/21 22:03","R_DNV8oqhfEuY4WWt",NA,NA,NA,NA,39.72770691,-104.9814987,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",23,"Male","caucasian","Yes","History","Yes","No","Slightly tired","Well","",60217,695468
"71",95,"3/14/21 23:34","3/14/21 23:35","IP Address","130.253.27.3",100,65,"True","3/14/21 23:35","R_1pMBC6166hyIHNl",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",21,"Female","","Yes","psychology","No","No","Very tired","Well","",54607,191476
"72",96,"3/15/21 1:38","3/15/21 1:42","IP Address","73.95.53.7",100,240,"True","3/15/21 1:42","R_2b4ecu9D3KK4SA8",NA,NA,NA,NA,39.66630554,-104.8342972,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","Hispanic","No","Electrical Engineering","No","No","Slightly tired","Well","",60178,357783
